date,count,sum,high_user_ratio,high_user_ratio_smooth
2024-03-02,181,74,0.4088397790055249,0.4088397790055249
2024-03-03,179,83,0.46368715083798884,0.4362634649217568
2024-03-04,179,66,0.3687150837988827,0.41374733788079876
2024-03-05,183,70,0.3825136612021858,0.4049719652796857
2024-03-06,182,71,0.3901098901098901,0.3804462117036529
2024-03-07,184,71,0.3858695652173913,0.3861643721764891
2024-03-08,183,71,0.3879781420765027,0.3879858658012614
2024-03-09,184,71,0.3858695652173913,0.3865724241704285
2024-03-10,184,76,0.41304347826086957,0.3956303951849212
2024-03-11,180,69,0.38333333333333336,0.39408212560386474
2024-03-12,185,63,0.34054054054054056,0.3789724507115812
2024-03-13,181,61,0.3370165745856354,0.35363014948650306
2024-03-14,185,61,0.32972972972972975,0.33576228161863525
2024-03-15,186,64,0.34408602150537637,0.3369441086069138
2024-03-16,187,70,0.37433155080213903,0.34938243401241503
2024-03-17,184,67,0.3641304347826087,0.360849335696708
2024-03-18,185,58,0.31351351351351353,0.3506584996994204
2024-03-19,186,59,0.3172043010752688,0.33161608312379703
2024-03-20,189,58,0.30687830687830686,0.31253204048902977
2024-03-21,188,59,0.31382978723404253,0.3126374650625394
2024-03-22,188,65,0.34574468085106386,0.32215092498780445
2024-03-23,186,68,0.3655913978494624,0.34172195531152294
2024-03-24,185,69,0.372972972972973,0.3614363505578331
2024-03-25,185,64,0.34594594594594597,0.3615034389227938
2024-03-26,184,60,0.32608695652173914,0.34833529181355266
2024-03-28,183,67,0.366120218579235,0.3460510403489734
2024-03-29,188,72,0.3829787234042553,0.35839529950174315
2024-03-30,188,61,0.324468085106383,0.3578556756966244
2024-04-02,184,56,0.30434782608695654,0.3372648781991983
2024-04-03,186,59,0.3172043010752688,0.3153400707562028
2024-04-04,188,58,0.30851063829787234,0.31002092182003255
2024-04-05,191,59,0.3089005235602094,0.3115384876444502
2024-04-06,190,55,0.2894736842105263,0.30229494868953605
2024-04-07,189,63,0.3333333333333333,0.310569180368023
2024-04-08,189,63,0.3333333333333333,0.3187134502923976
2024-04-09,186,55,0.2956989247311828,0.3207885304659498
2024-04-10,186,60,0.3225806451612903,0.3172043010752688
2024-04-11,187,56,0.2994652406417112,0.3059149368447281
2024-04-12,187,49,0.2620320855614973,0.2946926571214996
2024-04-13,191,49,0.25654450261780104,0.2726806096070032
2024-04-14,189,61,0.32275132275132273,0.2804426369768737
2024-04-15,188,54,0.2872340425531915,0.2888432893074384
2024-04-16,188,56,0.2978723404255319,0.3026192352433487
2024-04-17,186,60,0.3225806451612903,0.3025623427133379
2024-04-18,187,62,0.3315508021390374,0.31733459590861984
2024-04-19,189,64,0.3386243386243386,0.3309185953082221
2024-04-20,190,67,0.3526315789473684,0.3409355732369148
2024-04-21,187,71,0.37967914438502676,0.3569783539855779
2024-04-22,183,65,0.3551912568306011,0.36250066005433207
2024-04-23,184,55,0.29891304347826086,0.3445944815646296
2024-04-24,185,68,0.3675675675675676,0.3405572892921432
2024-04-25,185,64,0.34594594594594597,0.3374755189972582
2024-04-26,183,64,0.34972677595628415,0.3544134298232659
2024-04-27,185,72,0.3891891891891892,0.3616206370304731
2024-04-28,185,77,0.41621621621621624,0.38504406045389655
2024-04-29,186,58,0.3118279569892473,0.37241112079821764
2024-04-30,187,47,0.25133689839572193,0.3264603572003952
2024-05-02,187,57,0.3048128342245989,0.2893258965365227
2024-05-03,188,58,0.30851063829787234,0.28822012363939775
2024-05-04,190,56,0.29473684210526313,0.3026867715425781
2024-05-05,188,57,0.30319148936170215,0.3021463232549459
2024-05-06,188,59,0.31382978723404253,0.30391937290033594
2024-05-07,189,47,0.24867724867724866,0.28856617509099775
2024-05-08,189,45,0.23809523809523808,0.2668674246688431
2024-05-09,188,40,0.2127659574468085,0.23317948140643174
2024-05-10,190,41,0.21578947368421053,0.22221688974208573
2024-05-11,192,43,0.22395833333333334,0.21750458815478413
2024-05-12,190,49,0.2578947368421053,0.23254751461988307
2024-05-13,191,49,0.25654450261780104,0.24613252426441323
2024-05-14,191,41,0.21465968586387435,0.2430329751079269
2024-05-15,191,43,0.225130890052356,0.23211169284467714
2024-05-16,191,46,0.24083769633507854,0.22687609075043627
2024-05-17,190,42,0.22105263157894736,0.22900707265546064
2024-05-18,191,47,0.24607329842931938,0.23598787544778177
2024-05-19,191,52,0.27225130890052357,0.24645907963626343
2024-05-20,190,44,0.23157894736842105,0.249967851566088
2024-05-21,190,47,0.24736842105263157,0.2503995591071921
2024-05-22,191,49,0.25654450261780104,0.2451639570129512
2024-05-23,190,48,0.25263157894736843,0.25218150087260033
2024-05-24,191,49,0.25654450261780104,0.25524019472765686
2024-05-25,191,47,0.24607329842931938,0.25174979333149633
2024-05-26,191,50,0.2617801047120419,0.2547993019197208
2024-05-27,192,53,0.2760416666666667,0.26129835660267603
2024-05-28,190,54,0.28421052631578947,0.27401076589816603
2024-05-29,191,49,0.25654450261780104,0.27226556520008577
2024-05-30,192,48,0.25,0.2635850096445302
2024-05-31,191,53,0.2774869109947644,0.2613438045375218
2024-06-02,190,52,0.2736842105263158,0.2670570405070267
2024-06-03,191,45,0.2356020942408377,0.26225773858730594
2024-06-04,191,45,0.2356020942408377,0.2482961330026637
2024-06-05,191,48,0.2513089005235602,0.24083769633507854
2024-06-06,190,46,0.24210526315789474,0.2430054193074309
2024-06-07,190,48,0.25263157894736843,0.2486819142096078
2024-06-08,192,52,0.2708333333333333,0.25519005847953213
2024-06-09,190,52,0.2736842105263158,0.26571637426900585
2024-06-10,192,52,0.2708333333333333,0.2717836257309942
2024-06-11,191,52,0.27225130890052357,0.27225628425339093
2024-06-12,191,48,0.2513089005235602,0.2647978475858057
2024-06-13,190,54,0.28421052631578947,0.2692569119132911
2024-06-14,190,56,0.29473684210526313,0.27675208964820425
2024-06-15,190,52,0.2736842105263158,0.28421052631578947
2024-06-16,191,58,0.3036649214659686,0.2906953246991825
2024-06-17,190,50,0.2631578947368421,0.2801690089097088
2024-06-18,189,41,0.21693121693121692,0.2612513443780092
2024-06-19,190,42,0.22105263157894736,0.2337139144156688
2024-06-20,190,44,0.23157894736842105,0.2231875986261951
2024-06-21,190,49,0.2578947368421053,0.23684210526315788
2024-06-22,191,52,0.27225130890052357,0.25390833103701665
2024-06-23,189,52,0.2751322751322751,0.2684261069583013
2024-06-24,190,43,0.22631578947368422,0.25789979116882766
2024-06-25,189,26,0.13756613756613756,0.21300473405736564
2024-06-26,193,29,0.15025906735751296,0.17138033146577825
2024-06-27,192,31,0.16145833333333334,0.1497611794189946
2024-06-28,195,30,0.15384615384615385,0.15518785151233339
2024-06-29,194,32,0.16494845360824742,0.16008431359591155
2024-06-30,192,24,0.125,0.14793153581813379
2024-07-02,190,40,0.21052631578947367,0.16682492313257372
2024-07-03,187,43,0.22994652406417113,0.1884909466178816
2024-07-04,187,21,0.11229946524064172,0.18425743503142886
2024-07-05,183,20,0.1092896174863388,0.1505118689303839
2024-07-06,183,23,0.12568306010928962,0.11575738094542339
2024-07-07,183,21,0.11475409836065574,0.11657559198542806
2024-07-08,181,17,0.09392265193370165,0.11145327013454902
2024-07-09,178,16,0.0898876404494382,0.09952146358126523
2024-07-10,171,3,0.017543859649122806,0.06711805067742091
2024-07-11,172,3,0.01744186046511628,0.04162445352122579
2024-07-12,167,3,0.017964071856287425,0.017649930656842196
2024-07-13,159,0,0.0,0.01180197744046793
2024-07-14,166,4,0.024096385542168676,0.01402015246615206
2024-07-15,163,0,0.0,0.008032128514056254
2024-07-16,153,0,0.0,0.008032128514056254
2024-07-17,152,2,0.013157894736842105,0.004385964912280729
2024-07-18,161,3,0.018633540372670808,0.010597145036504331
2024-07-19,162,2,0.012345679012345678,0.014712371373952891
2024-07-20,157,3,0.01910828025477707,0.01669583321326455
2024-07-21,160,2,0.0125,0.01465131975570761
2024-07-22,168,8,0.047619047619047616,0.026409109291274924
2024-07-23,181,3,0.016574585635359115,0.025564544418135604
2024-07-24,176,3,0.017045454545454544,0.02707969593328712
2024-07-25,181,8,0.04419889502762431,0.02593964506947935
2024-07-26,180,36,0.2,0.08708144985769299
2024-07-27,185,14,0.07567567567567568,0.10662485690110003
2024-07-28,185,43,0.23243243243243245,0.16936936936936942
2024-07-29,190,43,0.22631578947368422,0.17814129919393082
2024-07-30,190,45,0.23684210526315788,0.23186344238975823
2024-07-31,190,50,0.2631578947368421,0.24210526315789474
2024-08-02,190,49,0.2578947368421053,0.2526315789473685
2024-08-03,190,46,0.24210526315789474,0.25438596491228077
2024-08-04,189,48,0.25396825396825395,0.2513227513227514
2024-08-05,149,40,0.2684563758389262,0.254843297655025
2024-08-06,149,36,0.24161073825503357,0.25467845602073796
2024-08-07,188,38,0.20212765957446807,0.237398257889476
2024-08-08,189,45,0.23809523809523808,0.22727787864157997
2024-08-09,190,43,0.22631578947368422,0.2221795623811302
2024-08-10,180,3,0.016666666666666666,0.16035923141186306
2024-08-11,176,6,0.03409090909090909,0.09235778841042004
2024-08-12,177,4,0.022598870056497175,0.02445214860469103
2024-08-13,177,3,0.01694915254237288,0.02454631056325977
2024-08-14,175,5,0.02857142857142857,0.022706483723432935
2024-08-15,172,40,0.23255813953488372,0.09269290688289511
2024-08-16,186,43,0.23118279569892472,0.1641041212684124
2024-08-17,188,43,0.22872340425531915,0.23082144649637593
