date,count,sum,high_user_ratio,high_user_ratio_smooth
2025-03-02,169,106,0.6272189349112426,0.6272189349112426
2025-03-03,169,93,0.5502958579881657,0.5887573964497042
2025-03-04,173,95,0.5491329479768786,0.5755492469587623
2025-03-05,173,90,0.5202312138728323,0.5398866732792922
2025-03-06,176,88,0.5,0.523121387283237
2025-03-07,176,85,0.48295454545454547,0.5010619197757925
2025-03-08,181,94,0.5193370165745856,0.5007638540097104
2025-03-09,176,92,0.5227272727272727,0.5083396115854679
2025-03-10,175,81,0.46285714285714286,0.5016404773863338
2025-03-11,173,82,0.47398843930635837,0.4865242849635913
2025-03-12,176,88,0.5,0.4789485273878338
2025-03-13,169,79,0.46745562130177515,0.48048135353604454
2025-03-14,174,97,0.5574712643678161,0.5083089618898637
2025-03-15,179,94,0.5251396648044693,0.5166888501580202
2025-03-16,176,100,0.5681818181818182,0.5502642491180346
2025-03-19,175,85,0.4857142857142857,0.5263452562335245
2025-03-20,178,76,0.42696629213483145,0.4936207986769785
2025-03-21,179,79,0.441340782122905,0.45134045332400746
2025-03-22,182,83,0.45604395604395603,0.4414503434338975
2025-03-23,178,76,0.42696629213483145,0.4414503434338975
2025-03-24,176,80,0.45454545454545453,0.44585190090808074
2025-03-25,180,84,0.4666666666666667,0.4493928044489843
2025-03-26,182,76,0.4175824175824176,0.44626484626484636
2025-03-27,177,83,0.4689265536723164,0.4510585459738003
2025-03-28,180,80,0.4444444444444444,0.4436511385663928
2025-03-29,180,88,0.4888888888888889,0.4674199623352166
2025-03-31,181,69,0.3812154696132597,0.438182934315531
2025-04-02,182,67,0.36813186813186816,0.4127454088780056
2025-04-03,183,65,0.3551912568306011,0.368179531525243
2025-04-04,184,62,0.33695652173913043,0.35342654890053327
2025-04-05,186,72,0.3870967741935484,0.35974818425442673
2025-04-06,181,69,0.3812154696132597,0.3684229218486463
2025-04-07,183,67,0.366120218579235,0.378144154128681
2025-04-08,186,46,0.24731182795698925,0.33154917204982803
2025-04-09,186,37,0.1989247311827957,0.27078559257300666
2025-04-10,185,56,0.3027027027027027,0.24964642061416256
2025-04-11,181,61,0.3370165745856354,0.27954800282371134
2025-04-12,184,66,0.358695652173913,0.3328049764874171
2025-04-13,181,81,0.44751381215469616,0.38107534630474826
2025-04-14,181,67,0.3701657458563536,0.3921250700616543
2025-04-15,180,71,0.39444444444444443,0.4040413341518314
2025-04-16,183,72,0.39344262295081966,0.3860176044172059
2025-04-17,181,69,0.3812154696132597,0.38970084566950797
2025-04-18,182,84,0.46153846153846156,0.41206551803418034
2025-04-19,181,85,0.4696132596685083,0.4374557302734099
2025-04-20,182,87,0.47802197802197804,0.4697245664096494
2025-04-21,180,87,0.48333333333333334,0.4769895236746066
2025-04-22,180,69,0.38333333333333336,0.44822954822954825
2025-04-23,177,68,0.384180790960452,0.4169491525423729
2025-04-24,182,75,0.41208791208791207,0.39320067879389914
2025-04-25,179,64,0.3575418994413408,0.384603534163235
2025-04-26,183,76,0.41530054644808745,0.39497678599244684
2025-04-27,182,83,0.45604395604395603,0.4096288006444615
2025-04-28,183,63,0.3442622950819672,0.4052022658580036
2025-04-29,182,60,0.32967032967032966,0.37665886026541767
2025-04-30,183,53,0.2896174863387978,0.32118337036369826
2025-05-02,187,56,0.2994652406417112,0.3062510188836129
2025-05-03,188,65,0.34574468085106386,0.3116091359438577
